source,target,date_min
file10,file38,1548-01-12
file10,file13150,1547-12-30
file10,file5,1548-01-03
file10,file11,1548-01-12
file10,file13146,1547-12-21
file10,file20,1548-01-12
file10,file9,1548-01-10
file10,file13145,1547-12-21
file10,file36,1548-01-12
file10008,file10011,1575-09-19
file10014,file10038,1526-01-21
file10014,file10041,1526-01-31
file1002,file971,1550-07-26
file1004,file973,1550-07-29
file1004,file994,1550-08-19
file10043,file10044,1526-05-01
file10050,file10052,1527-09-30
file1006,file1024,1550-08-28
file1006,file979,1550-08-05
file1006,file1036,1550-08-28
file1007,file997,1550-08-20
file10074,file10077,1531-12-06
file10074,file10080,1531-12-06
file10077,file10080,1531-12-11
file10080,file10085,1531-12-28
file10085,file10092,1532-01-16
file10087,file10095,1532-01-23
file10092,file10098,1532-02-09
file10092,file10094,1532-02-09
file10094,file10098,1532-02-20
file10094,file10102,1532-02-20
file10094,file10105,1532-02-20
file10098,file10105,1532-02-28
file10098,file10102,1532-02-28
file10098,file10108,1532-02-28
file101,file102,1548-04-26
file101,file128,1548-04-26
file101,file82,1548-03-30
file101,file119,1548-04-26
file101,file95,1548-04-16
file101,file108,1548-04-26
file1010,file987,1550-08-15
file10102,file10110,1532-03-11
file10102,file10105,1532-03-11
file10102,file10111,1532-03-11
file10102,file10108,1532-03-11
file10102,file10112,1532-03-11
file10103,file10104,1532-03-15
file10103,file10116,1532-03-15
file10104,file10116,1532-03-15
file10105,file10110,1532-03-16
file10105,file10111,1532-03-16
file10105,file10108,1532-03-16
file10105,file10112,1532-03-16
file10108,file10111,1532-03-23
file10108,file10118,1532-03-23
file10108,file10112,1532-03-23
file10108,file10110,1532-03-23
file10110,file10111,1532-03-30
file10110,file10118,1532-03-30
file10110,file10112,1532-03-30
file10111,file10118,1532-03-31
file10111,file10112,1532-03-31
file10112,file10118,1532-04-01
file10118,file10122,1532-04-20
file10122,file10131,1532-05-05
file10122,file10130,1532-05-05
file10122,file10127,1532-05-05
file10127,file10131,1532-05-25
file10127,file10130,1532-05-25
file1013,file1027,1550-09-23
file1013,file1041,1550-09-23
